date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2009/12/02,1591.63,1582.62,1597.12,1579.99,329366,4827791,837775152
2009/12/03,1615.00,1597.31,1615.00,1594.50,282331,4435786,850095313
2009/12/04,1624.76,1609.07,1629.80,1608.39,281880,4532396,855067928
2009/12/07,1632.65,1633.30,1635.72,1625.44,267038,3938682,859379778
2009/12/08,1627.78,1630.78,1638.22,1622.31,355532,3597214,857126982
2009/12/09,1634.17,1615.65,1634.17,1609.81,354626,4601876,860780316
2009/12/10,1652.73,1635.58,1652.73,1612.71,470001,7737585,870445385
2009/12/11,1656.90,1650.57,1664.05,1641.54,438802,5455222,872743210
2009/12/14,1664.77,1662.74,1664.85,1644.75,411975,5092968,877928753
2009/12/15,1665.85,1659.77,1667.73,1657.85,366145,5061338,878657211
2009/12/16,1664.24,1666.16,1670.10,1652.10,370484,4662827,877792287
2009/12/17,1647.84,1663.65,1664.65,1647.66,376797,4327520,869476822
2009/12/18,1647.04,1639.25,1651.02,1632.09,264014,4016693,868722876
2009/12/21,1644.23,1646.32,1650.89,1637.23,288557,3881212,867360306
2009/12/22,1655.54,1656.18,1658.10,1647.21,472134,3788239,873423123
2009/12/23,1661.35,1661.44,1661.68,1654.87,371781,4028243,876520680
2009/12/24,1682.34,1663.66,1687.08,1662.31,330905,4867741,887590805
2009/12/28,1685.59,1695.19,1695.33,1679.56,389501,5826460,889255165
2009/12/29,1672.48,1674.96,1683.05,1662.07,318035,4228352,882372887
2009/12/30,1682.77,1670.19,1682.77,1661.11,326530,4285642,887935183
2010/01/04,1696.14,1681.71,1696.14,1681.71,296548,4364596,894731591
2010/01/05,1690.62,1701.62,1702.39,1686.45,408854,6830723,891901043
2010/01/06,1705.32,1697.88,1706.89,1696.10,426040,6391017,899645119
2010/01/07,1683.45,1702.92,1707.90,1683.45,462403,7498405,888111374
2010/01/08,1695.26,1694.06,1695.26,1668.84,379952,6965073,894080130
2010/01/11,1694.12,1700.79,1705.73,1694.12,407680,6952669,893092753
2010/01/12,1698.64,1695.83,1701.16,1683.29,383755,5330059,895743625
2010/01/13,1671.41,1683.51,1687.58,1671.11,361933,5286074,881413532
2010/01/14,1685.77,1680.68,1692.78,1677.46,433753,6219871,889078614
2010/01/15,1701.80,1694.65,1704.43,1686.12,415904,6485923,897220216
2010/01/18,1711.78,1696.14,1716.62,1688.89,420752,6335015,902436364
2010/01/19,1710.22,1719.41,1723.22,1706.73,384379,5700482,901867203
2010/01/20,1714.38,1723.01,1723.01,1708.58,695737,7290025,904201206
2010/01/21,1722.01,1700.53,1722.01,1695.18,543454,5803563,908475207
2010/01/22,1684.35,1696.21,1706.09,1665.60,615073,6695897,888759752
2010/01/25,1670.20,1662.77,1681.83,1660.58,585001,5838457,881526818
2010/01/26,1637.34,1670.47,1671.66,1626.98,576949,6114373,864178395
2010/01/27,1625.48,1641.88,1643.64,1620.55,446538,5760749,857724538
2010/01/28,1642.43,1632.58,1649.46,1619.26,479612,5472747,867754349
2010/01/29,1602.43,1621.00,1626.57,1595.39,473945,5729025,848135732
2010/02/01,1606.44,1603.87,1611.99,1590.80,382241,5109265,849915099
2010/02/02,1595.81,1618.60,1618.60,1591.24,434956,5008804,844598368
2010/02/03,1615.02,1614.16,1618.86,1602.55,438152,4459113,854639238
2010/02/04,1616.42,1615.48,1619.37,1607.87,396780,4093281,855340684
2010/02/05,1567.12,1567.59,1575.16,1560.99,460774,4940524,829280668
2010/02/08,1552.79,1565.24,1566.30,1548.78,445720,4182126,821989535
2010/02/09,1570.49,1550.80,1571.96,1549.11,433885,4308484,831079859
2010/02/10,1570.12,1578.83,1581.56,1565.79,436123,4184075,830862388
2010/02/11,1597.81,1574.95,1600.41,1574.77,393756,4404076,845555099
2010/02/12,1593.66,1595.95,1598.41,1577.89,292261,4240413,843764303
2010/02/16,1601.05,1589.97,1608.86,1586.87,275272,2731491,847620423
2010/02/17,1627.43,1619.04,1628.31,1618.27,383623,4105201,861416895
2010/02/18,1621.19,1630.89,1631.71,1618.81,313983,3281797,858098194
2010/02/19,1593.90,1611.09,1623.25,1592.92,345773,3775988,843829206
2010/02/22,1627.10,1617.16,1630.51,1617.16,307160,3453093,861245977
2010/02/23,1628.90,1626.75,1630.45,1616.04,352019,3519764,861915058
2010/02/24,1612.83,1616.55,1618.46,1606.24,390679,3892377,853431583
2010/02/25,1587.51,1620.25,1621.84,1582.22,403210,4004938,840016821
2010/02/26,1594.58,1593.73,1596.55,1580.70,331755,3201772,844069184
2010/03/02,1615.12,1612.43,1620.15,1608.97,415101,4193884,855012037
2010/03/03,1622.44,1615.25,1622.63,1611.35,403469,3292850,858805025
2010/03/04,1618.20,1625.35,1631.10,1612.47,383044,3308671,856481257
2010/03/05,1634.57,1624.80,1634.57,1624.74,344079,3452621,865070688
